DateTime,Open,High,Low,Close
2020-09-04 18:00:00,44746,44998,44569,44991
2020-09-04 19:00:00,44991,44996,44351,44887
2020-09-04 20:00:00,44887,45499,44351,45191
2020-09-04 21:00:00,45190,46000,44862,45698
2020-09-04 22:00:00,45201,45700,44000,44698
2020-09-04 23:00:00,44698,45697,44069,45399
2020-09-05 00:00:00,45399,45400,44782,45350
2020-09-05 01:00:00,45300,45300,44503,45298
2020-09-05 02:00:00,45119,45119,44731,45000
2020-09-05 03:00:00,45000,45295,45000,45294
2020-09-05 04:00:00,45294,45498,45294,45315
2020-09-05 05:00:00,45315,45496,44858,44858
2020-09-05 06:00:00,44842,45495,44842,45313
2020-09-05 07:00:00,45236,45496,44844,45496
2020-09-05 08:00:00,45496,45498,45001,45361
2020-09-05 09:00:00,45361,45452,45003,45167
2020-09-05 10:00:00,45168,45209,44941,44979
2020-09-05 11:00:00,44978,45199,44554,44802
2020-09-05 12:00:00,44806,44999,44584,44692
2020-09-05 13:00:00,44691,45000,44653,44945
2020-09-05 14:00:00,44855,45200,44612,44800
2020-09-05 15:00:00,45150,45199,44591,44764
2020-09-05 16:00:00,44765,44765,44500,44587
2020-09-05 17:00:00,44586,44685,44326,44334
2020-09-05 18:00:00,44531,44531,44106,44245
2020-09-05 19:00:00,44245,44550,43980,44432
2020-09-05 20:00:00,43983,44497,43010,43389
2020-09-05 21:00:00,43350,44400,43008,44100
2020-09-05 22:00:00,44100,44686,43951,44679
2020-09-05 23:00:00,44679,44686,44350,44426
2020-09-06 00:00:00,44426,44686,43760,43770
2020-09-06 01:00:00,43858,44600,43606,44599
2020-09-06 02:00:00,44599,44599,43001,43499
2020-09-06 03:00:00,43445,43479,42679,42679
2020-09-06 04:00:00,43022,44500,42683,44500
2020-09-06 05:00:00,44499,44499,42775,43717
2020-09-06 06:00:00,43725,44500,42745,43043
2020-09-06 07:00:00,44497,44498,43045,44452
2020-09-06 08:00:00,44452,44477,43732,44477
2020-09-06 09:00:00,44477,44477,43828,44476
2020-09-06 10:00:00,44301,44476,44007,44266
2020-09-06 11:00:00,44265,44265,44003,44229
2020-09-06 12:00:00,44229,44229,43812,43813
2020-09-06 13:00:00,43812,44049,43701,43895
2020-09-06 14:00:00,43895,44045,43801,44007
2020-09-06 15:00:00,43973,44250,43901,44250
2020-09-06 16:00:00,44250,44399,44070,44332
2020-09-06 17:00:00,44332,44443,44105,44349
2020-09-06 18:00:00,44349,44475,44000,44475
2020-09-06 19:00:00,44475,44475,43912,43937
2020-09-06 20:00:00,43942,44300,43942,44297
2020-09-06 21:00:00,44280,44299,43915,44277
2020-09-06 22:00:00,44277,44277,43960,43961
2020-09-06 23:00:00,43961,44275,43888,43889
2020-09-07 00:00:00,43888,44270,43811,44249
2020-09-07 01:00:00,44277,44277,44204,44204
2020-09-07 02:00:00,44203,44204,44203,44204
2020-09-07 03:00:00,44203,44204,44203,44204
2020-09-07 04:00:00,44203,44203,44203,44203
